CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,Rb,Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Type de roche
0.000136237,3.18E-07,1.08E-08,2.35E-07,5.97E-08,6.69E-05,9.38E-05,1.10E-07,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,1.27E-05,1.15E-06,6.23E-06,2.14E-05,9.42E-05,4.09E-06,2.98E-06,6.83E-06,3.59E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
0.000155063,3.18E-07,1.08E-08,2.35E-07,5.97E-08,6.69E-05,9.38E-05,7.70E-08,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,4.53E-06,1.12E-06,1.72E-05,6.90E-06,5.77E-07,4.66E-05,5.11E-05,0.000185186,9.86E-06,2.98E-06,6.83E-06,3.59E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,6.30E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
0.000155063,3.18E-07,3.20E-08,8.40E-07,1.33E-07,6.69E-05,9.38E-05,7.70E-08,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,1.27E-05,5.77E-07,1.63E-05,5.11E-05,0.000185186,4.09E-06,2.98E-06,1.47E-05,9.62E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,1.91E-06,1.07E-05,1.85E-06,2.47E-07,1.02E-06,1.44E-07,1.85E-06,5.13E-07,1.34E-06,1.66E-07,6.30E-07,1.28E-07,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
0.000155063,3.18E-07,1.08E-08,2.35E-07,5.97E-08,6.07E-05,8.71E-05,7.70E-08,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,1.11E-05,1.12E-06,8.47E-06,1.27E-05,1.15E-06,6.23E-06,2.14E-05,9.42E-05,9.86E-06,2.98E-06,6.83E-06,3.59E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,5.38E-07,5.97E-08,4.82E-05,8.04E-05,7.70E-08,2.31E-07,3.50E-07,0.00247769,3.80E-05,2.23E-05,4.53E-06,1.12E-06,1.72E-05,1.27E-05,1.15E-06,1.63E-05,5.11E-05,0.000367153,1.56E-05,8.80E-06,6.83E-06,3.59E-06,5.92E-07,3.25E-07,3.20E-05,2.83E-05,4.84E-06,2.33E-05,3.96E-06,9.77E-07,5.63E-06,7.82E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,4.87E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,5.38E-07,5.97E-08,6.07E-05,8.71E-05,7.70E-08,8.05E-08,3.50E-07,0.001124296,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,6.90E-06,1.15E-06,1.63E-05,8.07E-05,0.000185186,9.86E-06,2.98E-06,1.47E-05,9.62E-06,1.46E-06,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,1.85E-06,2.20E-07,1.34E-06,7.27E-08,6.30E-07,5.33E-08,1.03E-07,1.02E-07,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,2.35E-07,5.97E-08,6.07E-05,8.71E-05,7.70E-08,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,1.27E-05,1.15E-06,6.23E-06,2.14E-05,0.000185186,9.86E-06,2.98E-06,6.83E-06,3.59E-06,1.46E-06,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,1.02E-07,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,8.40E-07,5.97E-08,6.07E-05,8.71E-05,1.10E-07,8.05E-08,3.50E-07,0.001800993,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,6.90E-06,1.15E-06,6.23E-06,5.11E-05,0.000185186,4.09E-06,2.98E-06,1.47E-05,3.59E-06,1.46E-06,5.22E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,1.64E-07,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,2.35E-07,5.97E-08,6.07E-05,8.71E-05,1.42E-07,8.05E-08,3.50E-07,0.000447599,3.80E-05,2.23E-05,4.53E-06,1.12E-06,1.72E-05,1.27E-05,5.77E-07,6.23E-06,2.14E-05,0.000185186,4.09E-06,2.98E-06,6.83E-06,3.59E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,5.38E-07,1.33E-07,6.07E-05,8.71E-05,7.70E-08,8.05E-08,3.50E-07,0.001124296,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,6.90E-06,1.15E-06,6.23E-06,2.14E-05,0.000185186,4.09E-06,2.98E-06,6.83E-06,3.59E-06,1.46E-06,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,1.64E-07,4.59E-07,1.66E-05,R. carbonatí©es
0.00014565,3.18E-07,1.08E-08,8.40E-07,1.33E-07,6.07E-05,8.71E-05,4.43E-08,8.05E-08,3.50E-07,0.001124296,3.80E-05,2.23E-05,4.53E-06,1.12E-06,8.47E-06,1.27E-05,1.15E-06,6.23E-06,2.14E-05,0.000185186,9.86E-06,2.98E-06,6.83E-06,3.59E-06,5.92E-07,1.28E-07,5.40E-06,5.25E-06,9.31E-07,4.39E-06,8.00E-07,2.47E-07,1.02E-06,1.44E-07,8.13E-07,2.20E-07,5.95E-07,7.27E-08,2.91E-07,5.33E-08,1.03E-07,4.00E-08,4.59E-07,1.66E-05,R. carbonatí©es
